,region,proj_x,proj_y,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
160,16,-1433903.231838518,2275827.178133142,15.62266567068616,103.5,0.2,27.2,18.6,52935,13.8,14.837484170536092,0.4115,13.6,2.2152700361874675,2.679405961158998,67.69544431946007,10.7,13.5
161,16,-1461861.042250346,2362904.66661672,21.986192246415296,110.2,0.0,30.7,10.3,50053,13.0,13.757009345794394,0.4175,6.8,1.4901828194173077,2.9381443298969083,61.68521462639109,15.6,21.6
162,16,-1535269.7438721636,2578274.1448688284,42.98714430160336,102.1,0.1,4.6,30.4,64475,27.5,9.281912410122327,0.4613,2.1,1.0529859281967715,1.9821605550049528,79.63693764798737,0.7,11.4
163,16,-1291553.593324909,2238859.742849068,10.10458320516764,105.6,0.3,6.8,17.7,57215,13.8,13.896316102198456,0.3944,19.4,3.003647249733729,2.4309723889555768,75.12965050732807,2.5,10.9
164,16,-1589058.1721788582,2767252.4529790464,32.73599686643165,97.3,0.4,3.9,22.9,58107,19.6,15.645125195812714,0.4223,14.6,3.848062837427957,2.589783946201174,66.53444610160886,1.9,10.1
165,16,-1553189.0829097405,2912035.527759692,27.89704988009041,97.7,0.3,4.6,25.2,57242,18.5,14.129619506489876,0.4278,8.8,4.788873753744339,2.590899437781524,74.79142632626106,2.4,9.7
166,16,-1425060.396158539,2339007.937692967,19.833653230966085,99.9,0.2,35.3,14.1,53370,15.8,15.1750784834581,0.4463,15.6,3.302001526861043,2.226948580007504,61.96124031007752,14.4,18.2
167,16,-1518130.245435505,2300267.041107846,26.61244615733393,97.0,0.8,16.4,20.6,52919,15.1,15.493289658179073,0.4369,11.4,3.787188139017839,3.323196624750002,64.02336350242054,9.0,12.0
168,16,-1440368.729467032,2405231.299143676,68.86726893676163,106.2,0.4,22.6,35.4,56694,17.8,11.898270236445716,0.4757,3.7,2.129452361103684,2.543456994506732,87.4679128546041,15.7,12.8
169,16,-1565852.2064033605,2496228.765536526,25.67711665600341,105.0,0.3,4.6,27.1,59646,24.9,8.227161832474925,0.4139,12.0,1.34968920275513,2.7178423236514537,80.06644518272425,3.4,11.3
170,16,-1370454.8264364935,2427502.8813768616,13.525179856115107,111.2,0.2,5.1,16.2,42132,20.8,10.461061604029446,0.5235,3.0,0.1429210206211401,1.7667844522968212,71.50075795856493,0.7,15.5
171,16,-1516112.615002515,2369968.934535552,21.23415046491969,105.4,0.1,29.1,17.2,47204,16.7,13.843411671507791,0.4134,12.2,3.026953301474076,2.231404958677685,63.48373557187828,12.9,16.1
172,16,-1618327.3141365894,2446000.520058003,47.97801288021717,100.4,1.4,8.2,38.5,66293,14.0,15.773702032837985,0.4615,8.7,6.065412224266597,3.1423846038189818,77.30217671180621,5.8,8.3
