,region,lon,lat,Y,X1,X2,X3,X4,X5,X6,X7,X8
1971,TN,-82.1281035839619,36.2927107215481,11.9,12.8,74.1,52.3,16.4,23.1,30.3,44.2,27.6
1972,NC,-78.2855965915324,36.0827093866128,10.2,14.9,76.2,61.3,18.2,16.2,23.7,37.4,25.0
1973,GA,-83.6968461851432,32.8062871397584,11.7,16.1,79.0,52.9,13.3,18.1,32.1,43.4,35.9
1974,WA,-122.681078725344,46.1928570782337,12.9,8.4,64.3,59.0,17.6,15.0,21.2,36.5,29.2
1975,MS,-90.3749921434948,34.6506310696003,12.2,13.9,80.9,5.3,11.8,24.0,41.8,46.4,36.0
1976,SC,-82.3094465802451,33.8995317154953,10.1,13.9,78.5,58.4,18.0,17.5,26.1,40.3,31.0
1977,TX,-94.7618224818731,32.1079744041474,9.9,20.6,72.4,53.2,19.3,17.5,26.9,40.3,28.9
1979,MO,-90.8774877340781,37.9614739823197,11.3,12.0,72.8,51.7,18.7,24.1,29.6,42.2,23.4
1980,NE,-101.041976225201,40.1761669175728,9.7,8.5,70.1,58.3,21.4,18.3,28.1,32.8,20.5
1982,KS,-95.7269460284304,38.6523024213965,10.7,11.4,74.2,62.7,19.1,17.9,25.1,32.1,19.3
1983,OK,-95.2502811179092,34.8760727150762,13.6,13.5,72.5,46.9,14.6,24.8,36.5,39.2,27.7
1984,MD,-75.7588809332213,38.1136869415127,12.4,10.5,75.8,50.6,15.2,19.7,31.0,45.4,34.3
1985,IN,-85.4657626743102,39.6200897065716,11.2,9.5,75.9,59.8,17.3,19.3,27.4,39.4,23.0
1986,IA,-94.3967730929328,42.0362286775236,10.0,7.1,75.2,65.5,22.9,17.5,26.9,32.6,22.1
1987,OH,-80.9884007171154,40.0158385533074,11.5,8.8,76.0,56.9,20.0,23.2,31.2,40.8,25.8
1988,TX,-96.222100004124,29.2777863659178,10.2,23.8,71.7,49.5,18.4,17.7,31.0,40.5,31.7
1990,KY,-85.8843957778659,37.2997149371142,12.1,10.3,76.3,50.0,13.8,24.0,31.3,44.5,24.4
1991,TX,-96.6204059501343,30.4920545353374,10.2,18.4,71.4,53.4,19.3,17.5,28.0,38.1,26.5
